track_id,track_name,album_id,primary_genre,duration_ms,explicit,key_signature,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4hTR9VCNCQ8rUnpd3yqXam,Three Caws - Original Mix,22627,disney,65866,False,G Major,4,0.377,0.0562,7,-16.777,1,0.0341,0.967,0.934,0.141,0.445,79.524
7L58q6GuEx27c12drvszhr,World Looking In,13950,trip-hop,246613,False,B Minor,4,0.638,0.835,11,-7.556,0,0.0687,0.125,0.329,0.1,0.779,172.102
04mzuKp6eC09EvEArOEeFE,I Don't Need No Doctor,34856,goth,167400,False,C Major,4,0.393,0.879,0,-9.501,1,0.0787,0.000271,7.24e-06,0.161,0.434,120.098
651YiPRtkwDtIlatE28SFm,Kill You,39433,rockabilly,159973,False,A Minor,4,0.359,0.949,9,-5.479,0,0.186,0.136,0.0,0.364,0.452,135.739
6XblFniaIvfdIfuIlD7Ywg,"Rios, Pontes e Overdrives",8956,hard-rock,243573,False,G#/Ab Major,4,0.747,0.818,8,-9.055,1,0.0366,0.0209,0.03,0.363,0.891,112.986
7H7MRlSy7y6MwyhAhVNKxR,Let Me Be Free,38475,happy,206445,False,A Minor,4,0.644,0.934,9,-5.209,0,0.0375,0.00327,0.0947,0.0958,0.652,135.027
7HM1onSgR6op93vH7jNTV5,Boom It Off,5871,j-dance,210666,True,D Major,5,0.744,0.502,2,-9.603,1,0.312,0.246,1.68e-06,0.0511,0.7,120.411
2NBQmPrOEEjA8VbeWOQGxO,Drop It Like It's Hot,30156,funk,266066,True,C#/Db Major,4,0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979
3gqDcHFH3r5AQzsr3r6g0L,All Starts on the First Date,32812,comedy,391557,True,D Major,3,0.365,0.728,2,-21.023,1,0.889,0.814,4.22e-06,0.93,0.196,66.737
6p8uRRGziFLcA3QDvWxEPM,Heaven,16324,progressive-house,178294,False,A Minor,4,0.716,0.853,9,-3.254,0,0.03,0.00812,0.000268,0.154,0.593,124.014
0qNlJmwc2IE7DmzpFGtl9u,Fixa dig,13576,goth,184000,False,D Minor,4,0.596,0.884,2,-4.78,0,0.0445,0.000227,0.000435,0.111,0.355,126.971
36nYdygI2cwOtjBqGxhHzY,Friends,28814,piano,198825,False,C#/Db Major,4,0.305,0.0647,1,-24.815,1,0.0368,0.988,0.915,0.0984,0.257,76.732
0Qi2JkCpl4VrTVC6UqxSGX,You're Still The One,7882,country,212560,False,D#/Eb Major,4,0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774
56s8emjdpq3KjecMlyIBkb,Start Again,15513,garage,240000,False,A Minor,3,0.807,0.563,9,-6.07,0,0.0481,0.0209,0.152,0.0836,0.654,118.991
3pcVsf6ibPqtCuHyJHfJpg,紅玫瑰(國),46274,cantopop,239973,False,A Minor,4,0.425,0.583,9,-6.971,0,0.04,0.744,0.000689,0.116,0.345,128.05
4rfh0qEv1HdKRXWiRXfzWF,"It's Been a Long, Long Time",36708,jazz,205773,False,C Major,4,0.277,0.216,0,-9.66,1,0.03,0.945,0.00116,0.325,0.362,75.258
3RkQ3UwOyPqpIiIvGVewuU,Mr. Tambourine Man,6160,singer-songwriter,330533,False,F Major,4,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515
23phSRwoMy48rwFpmuAP8q,残酷な天使のテーゼ,45908,anime,247746,False,C Minor,4,0.691,0.773,0,-5.244,0,0.0494,0.0174,0.000451,0.117,0.502,128.162
7MSyqfP6ovs7heWipYsb9n,Barco de Papel - Ao Vivo,35937,sertanejo,167480,False,E Major,5,0.276,0.656,4,-3.627,1,0.0365,0.498,0.0,0.846,0.73,203.389
1XigMhsDWjz3GlY3tVIFhS,Black Mirror,24285,detroit-techno,338426,False,G#/Ab Major,3,0.725,0.538,8,-13.905,1,0.0342,0.501,0.594,0.106,0.372,108.013
77VqW84V88aKD8Bi8CzEsP,You've Done Enough,27201,deep-house,212893,False,C Major,4,0.676,0.782,0,-6.639,1,0.0344,0.0147,0.165,0.704,0.519,125.057
18twglRl0wFIIMtFOy2CHs,Joona,19253,indie-pop,189357,False,F#/Gb Minor,4,0.733,0.627,6,-8.707,0,0.073,0.444,0.0,0.211,0.894,109.007
5cjVsWqIkBQC7acTRhL0RO,Kamariya,35291,pop,187982,False,E Minor,4,0.825,0.666,4,-4.847,0,0.0554,0.143,2.81e-06,0.237,0.763,96.987
6YX0KM82CqJPWprJm1IQmo,A Guy That I'd Kinda Be Into,4667,show-tunes,164296,False,G#/Ab Major,4,0.519,0.55,8,-7.11,1,0.0397,0.234,9.34e-06,0.294,0.544,133.548
0DanEzIERtRw1Toae6IFXM,Rangapura Vihara,30496,indian,537295,False,D Major,4,0.43,0.471,2,-9.883,1,0.0307,0.229,0.00106,0.156,0.255,92.024
3ieUtb4ecQgEYxae8dzEUi,Shrike,41758,singer-songwriter,298880,False,G Minor,3,0.506,0.275,7,-8.464,0,0.0292,0.494,0.00377,0.101,0.0639,153.769
4VWH58O5XUjPRDcU3KBUUJ,River's Still Running,25854,country,189773,False,C Major,4,0.542,0.795,0,-5.662,1,0.0262,0.0251,0.0,0.122,0.476,85.951
3euNd4t7LjUpB25Bce96fz,Vecho Foot,40834,malay,190000,False,C Minor,4,0.773,0.533,0,-8.84,0,0.119,0.11,1.23e-06,0.268,0.352,91.04
0MF391cptMRWJwkIynqf5V,"Lost in the Crowd (feat. Fashawn, Zion I)",26365,breakbeat,212571,False,C#/Db Minor,4,0.659,0.941,1,-2.388,0,0.0434,0.000387,0.0,0.415,0.861,140.018
10VgkQlMqdck8KPIEDwkfA,Blank Space,19434,country,259370,False,E Major,4,0.529,0.825,4,-4.454,1,0.0324,0.158,0.0131,0.385,0.227,93.969
6YE1M9TlDXY7BYEV4pn0np,Homeseeker,16986,club,330480,False,F#/Gb Major,4,0.588,0.684,6,-5.924,1,0.0426,0.000113,0.0949,0.102,0.0377,95.015
5o4Mlib2LCewXvo9ykW9MM,Mallotze (Zeigt mir eure Hände),23197,party,187352,False,C Major,4,0.525,0.869,0,-2.528,1,0.0458,0.0854,0.0,0.743,0.437,124.999
6F9KW2QPgUH7GNxVWku4Nu,River Styx,4717,garage,232786,False,C Major,4,0.539,0.904,0,-3.146,1,0.07,0.0963,0.425,0.0701,0.445,120.096
0jHlrBGrcXDQEpdi2ZEYtU,El Firulete,30964,tango,148626,False,A Major,4,0.74,0.612,9,-5.92,1,0.104,0.847,0.665,0.101,0.767,87.262
1Mk9ou2m6hsEZJYuNRJFpO,London's Song,22020,folk,178573,False,E Major,4,0.562,0.266,4,-14.852,1,0.0409,0.928,0.000626,0.0983,0.493,88.968
0RKnsSlYHeSoEOpFTDEGQQ,One More Time,37370,honky-tonk,165360,False,F#/Gb Minor,4,0.44,0.523,6,-7.483,0,0.0479,0.863,2.29e-05,0.0865,0.686,64.099
1t3p66VlFQpJzK7Sx497uU,Ocean,30371,sleep,91109,False,G Major,4,0.183,0.0112,7,-19.413,1,0.33,1.14e-06,0.462,0.39,0.00142,80.403
7knht8aJ0OGe173oiks4FG,"Baby, It's Cold Outside - Remastered 2004",5004,jazz,143026,False,C Major,4,0.499,0.304,0,-11.543,1,0.0632,0.81,0.0,0.0546,0.521,129.321
1NNhZKNrg8WVmU6Ok8TDtO,"This Is Me - Dave Audé Remix; from ""The Greatest Showman""",38774,show-tunes,216204,False,B Minor,4,0.573,0.941,11,-2.536,0,0.134,0.00708,1.74e-05,0.12,0.518,121.939
7oUkPewtWnIAQ8MncVTXBv,Don't Need You - Edit,10621,metalcore,267997,True,G Major,4,0.206,0.962,7,-4.714,1,0.136,2.63e-05,3.17e-06,0.0679,0.303,152.327
68B0UiX7JPWB8YKEDMK7ru,Cumbia Regional,14024,afrobeat,209711,False,D Major,4,0.576,0.887,2,-2.424,1,0.0325,0.00013,0.0642,0.165,0.592,109.957
2JOyaHMylUOPC7co9rtnlB,Un Traguito,6953,spanish,184185,False,C Major,4,0.642,0.851,0,-3.448,1,0.103,0.143,0.0,0.776,0.653,96.996
7pjj6hVH1uh9Mf6rQ6QO0O,En Kungens Man,29975,punk,134493,False,G Major,4,0.547,0.898,7,-6.213,1,0.0589,0.049,0.0,0.0681,0.647,95.612
4A6Lx4yU4IGBAJPIAJpltI,Come Back,36248,industrial,241586,True,C#/Db Major,4,0.539,0.936,1,-3.57,1,0.0456,0.00193,0.0,0.337,0.544,100.005
7sl9yknSv01LGm7GXSur1L,Hysteria,32592,dubstep,243200,False,C#/Db Major,4,0.414,0.975,1,-2.331,1,0.27,0.00741,0.871,0.191,0.206,150.063
1tKGQxpLmF4cpsC15LhnZK,Don't Cry for Me Argentina,31477,opera,281520,False,E Major,3,0.271,0.225,4,-11.374,1,0.0329,0.782,0.0,0.101,0.234,100.028
5oRF3J9rBRWCNMTi0odITe,Voidwalker,41330,emo,148500,True,D Major,4,0.731,0.939,2,-3.581,1,0.0623,0.249,0.0,0.231,0.749,149.961
1FfSrtVUdtkoUKxo9Alsdk,Angel de Mi Vida,16534,rock-n-roll,181864,False,C Major,4,0.596,0.353,0,-12.86,1,0.0268,0.15,0.0,0.127,0.432,93.954
4ANZXEnFaxu9ELp7PXnWpy,Family,38915,goth,241400,False,E Minor,4,0.532,0.882,4,-10.583,0,0.0552,0.0166,1.46e-06,0.417,0.757,159.41
1oE37UMqzu9CjrlVw10Phd,Close All the Honky Tonks,15132,honky-tonk,128063,False,A Major,4,0.52,0.439,9,-11.75,1,0.0316,0.701,0.000645,0.124,0.843,163.286
2d9459rCOb4K0xypqo3qK8,Feel For You,22255,synth-pop,219866,False,C#/Db Major,5,0.622,0.714,1,-11.152,1,0.0478,0.0981,0.821,0.0906,0.886,159.948
42r0LZ9g8gq4afWztSw54k,Arco-Íris (feat. Thiaguinho) - Ao Vivo,19209,pagode,195649,False,F Major,4,0.531,0.839,5,-5.198,1,0.0577,0.742,0.0,0.88,0.685,91.851
2YGEvD1PTSsb1qZrAqLTkG,Spell of Death,39625,black-metal,169160,False,D Major,4,0.483,0.714,2,-10.79,1,0.0359,7.17e-06,0.88,0.318,0.0419,120.046
4IkrqZGnj1QF1YbkPs0hQV,Catfish Dance,24830,kids,52036,False,C#/Db Major,4,0.909,0.571,1,-14.957,1,0.335,0.0152,0.0,0.197,0.731,97.97
3MTWjEYB1wFHl9KMjdzb3D,シンクロときめき,5055,j-idol,232800,False,F Major,4,0.584,0.932,5,-3.473,1,0.0516,0.0259,1.48e-05,0.346,0.661,160.035
5P7KpZBx08HZ7MogQ3pORk,Intriago,18649,study,118000,False,E Minor,4,0.729,0.202,4,-8.51,0,0.058,0.682,0.915,0.111,0.356,89.991
1ptBH8MFuEgtEcjcU6t5t1,I Drive,10923,ambient,123533,False,C Major,4,0.204,0.0522,0,-26.234,1,0.0404,0.968,0.937,0.0799,0.0345,78.274
6sY9GnrVLugy9Jb0HZO5fA,Preciso Desse Mel,30201,samba,103803,False,D Major,4,0.609,0.633,2,-6.944,1,0.0649,0.394,0.0,0.205,0.527,175.853
6utqqPs42IgihJOSaLGFuy,Omniscient,39249,iranian,487637,False,D Major,3,0.0816,0.197,2,-23.846,1,0.0403,0.475,0.865,0.0812,0.037,78.029
6EyVBl1En0H0KOQVMiwozq,Nebular Ravens Winter,5575,black-metal,252786,False,A Minor,4,0.146,0.899,9,-6.411,0,0.0827,2.27e-06,0.512,0.113,0.109,138.602
4yNoaxUJjnP50AXYoAZx4S,Emotional,36686,dub,235275,False,B Minor,4,0.335,0.865,11,-4.672,0,0.0944,0.0027,0.276,0.107,0.411,149.85
2m49DOqdk0n4ofCEovrydG,Ye Mantramo,2892,hip-hop,167889,False,G#/Ab Major,4,0.764,0.652,8,-6.448,1,0.0896,0.103,0.000107,0.129,0.417,89.99
4yksBrqsVlu6D5EgfEo9cC,P'tite conne,24360,french,221333,False,A#/Bb Major,3,0.503,0.493,10,-12.019,1,0.0311,0.115,0.0027,0.106,0.335,132.911
1uDd2NwyAYDbVIuHaFOHJi,Mexico,24012,hardstyle,171000,False,D Minor,4,0.248,0.938,2,-3.035,0,0.207,0.0328,0.0,0.63,0.247,155.008
4ewtMhaOEX1eBoXhvJoIns,Ruffneck 09 - Excision & Datsik Remix,31820,breakbeat,266269,False,C Major,4,0.782,0.831,0,-5.55,1,0.177,0.0114,0.168,0.263,0.209,140.073
4x0yoDODvzz1P6Ii0LCZLO,Group Therapy (Messages Pt. 2) [ABGT499D3],19277,trance,51147,False,C#/Db Major,5,0.648,0.793,1,-6.144,1,0.334,0.0146,0.0,0.502,0.711,120.914
58zpSHENWnIrv9il2UQYwy,Осень,44829,romance,186560,False,C Minor,3,0.422,0.15,0,-15.931,0,0.0499,0.993,0.397,0.119,0.232,101.701
7d27antMgZmiEWdiCRSSNG,Su Ciervo - En Vivo,9777,electronic,240440,False,F#/Gb Minor,4,0.646,0.652,6,-10.957,0,0.0401,0.586,2.67e-05,0.727,0.531,123.009
4UC1T8tVQOz9USey3gS2FO,Me Gusta,31429,salsa,363440,False,F Minor,4,0.565,0.816,5,-6.814,0,0.0396,0.705,0.0002,0.0853,0.933,89.599
31JLyd1xx2bWnEkRwa7uMW,Sweetwater Sea,2297,bluegrass,234866,False,E Major,4,0.512,0.577,4,-10.046,1,0.0299,0.258,0.000102,0.932,0.689,117.735
3Zl1BIkTA0SS2iY1w0pjQF,Гитара,44549,romance,214295,False,A Minor,3,0.497,0.123,9,-18.701,0,0.117,0.994,0.0755,0.174,0.293,97.549
63LGAn2Jz3dxciWxGt0NCu,Balanço da Saveiro,3469,forro,133733,True,E Major,4,0.767,0.835,4,-4.212,1,0.0654,0.159,3.48e-05,0.0499,0.962,160.043
1ZIpOTFiz7CmIU8nmz6x6k,Do Without Dem,10489,j-dance,187593,True,D Major,3,0.59,0.749,2,-5.546,1,0.305,0.781,0.0,0.08,0.465,72.581
1BncfTJAWxrsxyT9culBrj,Experience,18185,classical,315426,False,D Major,4,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468
1E9dwbizzW4BTzWyqfX3F0,Mayaloo,32263,indie-pop,246857,False,A Major,4,0.613,0.134,9,-18.327,1,0.0449,0.808,0.0,0.11,0.436,140.209
37GD7jrPe7DubPim1i5kJI,Blood Magic,8431,club,214874,False,D Major,4,0.582,0.869,2,-7.114,1,0.0322,0.000151,0.141,0.0917,0.0715,105.001
3dgI3RyYktGoAM94LK3DGy,J'ai demandé à la lune,28234,synth-pop,209413,False,F#/Gb Minor,4,0.726,0.636,6,-8.481,0,0.0243,0.392,0.232,0.192,0.546,110.007
5VLffjJRTFUISU8RY9eGw0,Massacred,9194,grindcore,77120,False,G#/Ab Major,4,0.355,0.757,8,-10.325,1,0.0613,3.76e-05,0.866,0.185,0.589,124.667
2oWex6rYoQ7Bl2D9zG8d3F,Water No Get Enemy,37005,afrobeat,591693,False,A#/Bb Minor,4,0.641,0.926,10,-7.718,0,0.0572,0.11,0.0246,0.09,0.883,90.934
3odkvkWgBFpV02hHfGQWWC,PEOPLE IN YOUR NEIGHBORHOOD,37414,kids,136225,False,C Major,4,0.763,0.519,0,-7.812,1,0.0504,0.813,0.0,0.214,0.754,126.943
1HvTxgCj0mTzQlEo0zLvFb,In My Head,18239,r-n-b,135264,True,C#/Db Major,4,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049
3Zvbsl9aCCBJnAiN6twZNf,No Culpes al Amor,22139,tango,188160,False,F Major,4,0.527,0.262,5,-9.912,1,0.0401,0.772,0.0,0.168,0.516,123.594
5t1sJQEcAltWjCfGL50aQT,Grave,29533,metalcore,194786,False,G Minor,4,0.491,0.981,7,-3.673,0,0.131,0.0116,0.000971,0.144,0.366,138.015
3ydPqx54UrOZkgfPwiWHwt,Flamingo Go,13597,party,233226,False,A#/Bb Minor,4,0.7,0.884,10,-4.939,0,0.15,0.064,0.0,0.497,0.261,148.092
5BLJW9m6dlVchpVUmwygax,Karnaval Festival Reünie - Ricardo Moreno and Mental Theo Remix,19770,hardstyle,177296,False,F#/Gb Minor,4,0.506,0.978,6,-2.995,0,0.092,0.0121,0.0,0.703,0.318,174.974
3Q49QMJ30nh6G7am2WuzPK,Meu Melhor - Ao Vivo,39346,groove,317160,False,C Major,4,0.431,0.774,0,-4.587,1,0.0399,0.333,0.0,0.904,0.663,179.753
60OYt48sgi0ASxuvABRDPU,Taquinez les touches!,21086,honky-tonk,129080,False,D Minor,4,0.594,0.881,2,-6.615,0,0.0278,0.366,0.526,0.245,0.928,112.576
5o7CaOtRJYbKVV8iuR1s3z,Jekyll & Hyde,28220,disco,185133,False,C Major,4,0.724,0.903,0,-4.552,1,0.0337,0.0251,0.0,0.208,0.845,124.003
0nx5gQ8OhfYPQpQ3udfz8D,Nothing Visible; Ocean Empty,22558,metalcore,229095,False,C Major,4,0.208,0.94,0,-4.137,1,0.161,8.74e-06,0.0117,0.105,0.562,177.407
2PqRGBqhO6QoIPyhvQSFCl,Friends (feat. Powfu),21539,sad,155320,False,G#/Ab Major,4,0.711,0.589,8,-5.866,1,0.0431,0.103,0.0,0.161,0.241,87.965
5JAfEQ836WnMJogH7rDT5Q,Should I,33460,french,204444,True,A#/Bb Minor,4,0.822,0.528,10,-7.61,0,0.0398,0.423,0.0,0.0869,0.518,108.01
5BUEPIEXU0KupMQRwCUwPi,The Troublemakerz,34748,techno,458880,False,D Major,4,0.799,0.612,2,-8.926,1,0.0614,5.8e-05,0.878,0.107,0.266,125.0
4NyKEVldCvokxpmeFBNNXI,2 Wicky,1263,trip-hop,284293,False,A#/Bb Minor,4,0.546,0.613,10,-7.938,0,0.048,0.16,0.00403,0.13,0.446,68.172
3QSBi5PCusEmMZ8HhsPyBB,No Me Vuelvo A Enamorar,20687,salsa,288560,False,C Minor,4,0.8,0.722,0,-6.587,0,0.0427,0.38,4.72e-05,0.0689,0.947,94.41
1uWxXVpl4ZXFT7d6CH7LBS,I'll Never Not Love You,29254,j-pop,218390,False,B Major,4,0.492,0.791,11,-5.045,1,0.0703,0.00816,1.87e-05,0.11,0.585,144.363
1xDeDsNoBNyBidVQKPnWXE,Home Again,23142,afrobeat,202240,False,F Major,4,0.587,0.732,5,-8.097,1,0.0317,0.055,0.924,0.247,0.747,96.848
6PbhI4RX7jsbe8a8tHOwgi,VIP Sound - Benny Page Remix,14627,breakbeat,250971,False,G Major,4,0.627,0.854,7,-4.58,1,0.0716,0.000943,0.000756,0.21,0.387,174.979
1xySCCP2zuNtTzyqlJUwKI,No Lie,4636,dancehall,220986,False,G Major,4,0.708,0.884,7,-3.427,1,0.12,0.0421,0.0,0.288,0.498,102.006
3vkj94FiLgUz3ysZcmIXPx,Dizzy On the Comedown,28666,emo,255773,False,G#/Ab Major,4,0.619,0.632,8,-7.692,1,0.0273,0.431,8.05e-06,0.0897,0.265,114.97
5oQcOu1omDykbIPSdSQQNJ,1985,1167,punk-rock,193000,False,E Major,4,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.974
4oQfhu4mtIZxqSs0zH1oRS,戦争を知らない大人たち,44299,j-rock,261000,False,C#/Db Major,4,0.318,0.838,1,-3.886,1,0.285,0.0147,0.0,0.562,0.516,203.916
17PzNlFEwFlbs73AszuDpW,Family 1st,13056,kids,184560,False,C#/Db Minor,4,0.65,0.464,1,-9.832,0,0.19,0.0697,0.0,0.168,0.362,146.008
5bEJZOd6WCB8ohLyx2wctu,puro e simples,43578,groove,297226,False,C#/Db Major,4,0.362,0.4,1,-7.607,1,0.0273,0.452,6.78e-06,0.147,0.262,94.883
7ApqN9JuWMavf4px2G773r,"You Can Fly! You Can Fly! You Can Fly! - From ""Peter Pan""",10328,disney,263493,False,A#/Bb Major,4,0.494,0.382,10,-12.743,1,0.191,0.971,2.37e-06,0.12,0.512,68.223
1SvBC8FwVHDXZVvymltMkp,Macarena,39928,kids,309346,False,C#/Db Major,4,0.726,0.694,1,-11.966,1,0.0478,0.00112,1.15e-06,0.258,0.961,103.203
6UyHf5Wrc1qL8m0x23evtZ,Room With A View,31724,power-pop,230026,False,F#/Gb Minor,4,0.726,0.69,6,-11.403,0,0.0523,0.043,0.000515,0.351,0.922,134.88
0yccHAlypw9zM9Pf33lLjd,Returning,31198,piano,140250,False,G Minor,4,0.334,0.0203,7,-32.364,0,0.0325,0.993,0.919,0.0917,0.351,88.396
3XuYDvb6QZD0cFvAOhszc4,A Night in Zottegem,31718,ambient,248906,False,A Major,4,0.413,0.389,9,-10.039,1,0.0263,0.63,0.895,0.0823,0.0698,85.008
27NLkt8T5gyBISvcMGI9dF,Countermeasure,42775,breakbeat,280013,True,A#/Bb Minor,4,0.709,0.839,10,-10.041,0,0.0512,0.00616,0.791,0.327,0.621,101.004
4SaVGzVBXcpqywTcvdLEMK,花は誰のもの?,46207,j-idol,251120,False,C Major,4,0.446,0.844,0,-2.5,1,0.0437,0.276,0.0,0.12,0.603,205.637
6VunvsYJWXbbG65RyeY9Ng,Pump up the Jams,29824,happy,252438,False,F#/Gb Minor,4,0.4,0.99,6,-1.948,0,0.0782,0.000351,0.0305,0.502,0.0961,175.052
4YXpQWrMAZSTi1LNPuRhka,Harmonics,3919,detroit-techno,438426,False,D#/Eb Minor,4,0.668,0.674,3,-12.947,0,0.0393,0.000585,0.00879,0.0853,0.391,139.991
0naZk6fpzqAZFZg0CO9LOY,Every Shiney Night,19999,idm,252600,False,B Major,4,0.536,0.137,11,-14.239,1,0.0288,0.676,0.935,0.112,0.038,62.015
3LDJQuvazW0M6hGOARieEm,Love To Me,22443,drum-and-bass,253793,False,F Minor,4,0.444,0.955,5,-2.427,0,0.0374,0.0151,0.0114,0.686,0.396,173.991
3Db4apczD3oCVy2onEDxoz,Aaya Karo,1614,folk,191000,False,G#/Ab Minor,4,0.566,0.555,8,-7.576,0,0.0382,0.512,1.77e-06,0.14,0.341,131.941
3JAu2BH8sSI46rJGzQerb6,Forgotten,17369,grunge,194426,False,G#/Ab Minor,4,0.615,0.947,8,-3.817,0,0.11,0.0132,0.0,0.366,0.498,108.193
23gpA0ZDwhkizbU0NMyMsW,Agar Tum Mil Jao,43375,pop-film,360437,False,B Minor,4,0.567,0.793,11,-5.715,0,0.052,0.254,4.24e-05,0.0378,0.395,158.083
0ANegBVvYb1jXWXLMbdZFs,Gym Class,15649,emo,217000,True,G#/Ab Major,4,0.62,0.347,8,-13.292,1,0.0705,0.504,0.00421,0.0841,0.0753,75.517
7KwxU8kseYKf5pLbuI25g0,Irene,18711,chill,199672,False,C#/Db Major,3,0.877,0.5,1,-5.54,1,0.0578,0.744,0.0,0.108,0.412,121.966
3dysNqzNtD4bhiI8tMJ4Vm,Fractions,38538,hardcore,314026,False,C#/Db Major,3,0.414,0.828,1,-4.893,1,0.0477,0.0372,3.64e-06,0.172,0.306,154.017
1Qr17u2S9kNDzTeWAJCY5N,Paul's Dream,37295,german,423310,False,G Major,3,0.184,0.222,7,-12.428,1,0.0391,0.00494,0.776,0.093,0.0356,114.592
6Z7h9EstX9Dufe4IieibPU,アリよさらば - Live at 日本武道館'97 - Remastered 2022,20512,rockabilly,232986,False,B Minor,4,0.669,0.94,11,-7.346,0,0.0506,0.000892,4.22e-05,0.966,0.711,124.025
2yffiKUSy4W2RVfx0LMqhU,"One, Two, Three, Four, Five - Once I Caught a Fish Alive",26648,children,80120,False,E Major,4,0.892,0.846,4,-5.128,1,0.0328,0.202,1.35e-06,0.199,0.966,100.022
0x26yM2rrvtoHGRXXzppx3,サンサーラ,45134,acoustic,331984,False,D Major,4,0.45,0.183,2,-9.003,1,0.0309,0.762,3.41e-06,0.11,0.219,61.192
49ekRB1AYfDn0qeBfctJbJ,"My Life Is Going On (Cecilia Krull vs. Gavin Moss) - Música Original de la Serie de TV ""La Casa de Papel""",25143,spanish,165703,False,F#/Gb Minor,4,0.598,0.653,6,-8.654,0,0.0518,0.0171,2.52e-05,0.417,0.335,112.856
3cRBqlVbIvgGv2pBoAtFnG,Dreaming Glory,10871,study,104275,False,G Minor,4,0.385,0.257,7,-17.413,0,0.165,0.982,0.901,0.12,0.379,149.862
2rggoRqUqZcsznpwSRYSqx,You Don’t Look at Me the Same,15416,synth-pop,176653,False,D Major,4,0.723,0.471,2,-8.503,1,0.0316,0.642,0.0,0.166,0.652,122.044
4aX3n1Pn6jiCbvqBL8eqyP,Love Me Do - Mono / Remastered,147,psych-rock,140173,False,C Major,4,0.524,0.88,0,-3.865,1,0.0987,0.404,0.000191,0.154,0.758,148.058
1L3FZqeMCMbrV0CGAM6nYW,You're Not with Me,18588,garage,226560,False,F#/Gb Major,4,0.495,0.646,6,-8.208,1,0.0308,0.405,0.15,0.333,0.132,119.857
5II8S137GH5dYxLpGJ9KNz,Around Here,14527,funk,178434,True,B Minor,4,0.689,0.499,11,-9.159,0,0.34,0.0994,0.0,0.384,0.211,162.068
